name,lat,long,area,url2,url,homepage,campsites,trails,activity,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Acadia NP,44.3078,-68.3006,306629780.1,https://drive.google.com/uc?id=1tcsKjd3k3BlWkCpudyYukgPZwIviLJNz,image/Acadia.jpg,https://www.nps.gov/acad/index.htm,577,1071.336738,"Arts & Culture, Biking, Birdwatching, Boating, Camping, Canoeing, Children's Programs, Climbing, Cross-Country Skiing, Fishing, Fly Fishing, Geocaching, Hiking, Horseback Riding, Kayaking, Picnicking, Skiing, Tours, Stargazing,  Swimming, Water Activities , Wildlife Viewing, Winter Sports",1.75E+04,1.75E+04,2.28E+04,7.93E+04,2.72E+05,5.59E+05,7.64E+05,7.64E+05,6.45E+05,5.59E+05,4.52E+04,1.40E+04
Arches NP,38.7226,-109.5864,509081049.9,https://drive.google.com/uc?id=1GLc2EVfBupmNwn8FJdwCZHTQxrX_KHwE,image/Arches.jpg,https://www.nps.gov/arch/index.htm,51,591.915252,"Biking, Camping, Children's Programs, Hiking, Horseback Riding, Off-Roading, Scenic Drive, Shopping, Stargazing, Tours",3.28E+04,4.44E+04,1.39E+05,1.88E+05,1.88E+05,1.90E+05,1.90E+05,1.87E+05,1.88E+05,1.54E+05,7.81E+04,5.14E+04
Badlands NP,43.6858,-102.4829,1879080619,https://drive.google.com/uc?id=1sWLdwhLSvUY1DAnv_0O08A0lTDoGOipw,image/Badlands.jpg,https://www.nps.gov/badl/index.htm,100,90.605842,"Biking, Birdwatching, Camping, Children's Programs, Geocaching, Hiking, Historical, Horseback Riding, Off-Roading, Shopping, Stargazing, Wildlife Viewing",1.08E+04,1.08E+04,2.07E+04,2.22E+04,8.28E+04,2.14E+05,2.58E+05,2.19E+05,1.11E+05,3.24E+04,1.72E+04,1.05E+04
Big Bend NP,29.2982,-103.2298,4329893772,https://drive.google.com/uc?id=1wqtNVV4FicbtxTGagMEeygaS0f27CmBo,image/Big_Bend.jpg,https://www.nps.gov/bibe/index.htm,185,1155.827988,"Biking, Birdwatching, Camping, Children's Programs, Hiking, Kayaking, Off-Roading, Scenic Drive, Stargazing, Tours, Wildlife Viewing",3.76E+04,3.60E+04,6.88E+04,3.45E+04,2.88E+04,2.49E+04,1.92E+04,1.62E+04,2.17E+04,3.71E+04,3.20E+04,3.80E+04
Biscayne NP,25.4906,-80.2102,867063858.6,https://drive.google.com/uc?id=1UhXw7RH7GLGY0b_fJwiZy0hSRymut6Zt,image/Biscayne.jpg,https://www.nps.gov/bisc/index.htm,60,21.404222,"Boating, Camping, Children's Programs, Fishing, Historical, Kayaking, Tours",2.71E+04,3.25E+04,4.96E+04,5.17E+04,3.59E+04,5.08E+04,5.63E+04,4.61E+04,3.63E+04,3.00E+04,3.45E+04,3.20E+04
Black Canyon of the Gunnison NP,38.5778,-107.7243,207094308.8,https://www.nps.gov/common/uploads/structured_data/3C81655F-1DD8-B71B-0B4BCFFDB74EE723.jpg,image/Black_Canyon.jpg,https://www.nps.gov/blca/index.htm,116,59.384646,"Fishing, Hiking, Wildlife Viewing",8.52E+03,5.27E+03,7.49E+03,1.13E+04,4.00E+04,4.58E+04,4.51E+04,4.60E+04,4.52E+04,2.56E+04,2.19E+04,3.59E+03
Bryce Canyon NP,37.584,-112.1827,232305572.4,https://drive.google.com/uc?id=13PT3X__1B28f8hCwzgkBJv8HpPUKjDTO,image/Bryce_Canyon.jpg,https://www.nps.gov/brca/index.htm,199,250.896106,"Camping, Children's Programs, Cross-Country Skiing, Hiking, Horseback Riding, Shopping, Skiing, Stargazing, Tours, Wildlife Viewing, Winter Sports",3.64E+04,4.08E+04,9.43E+04,2.26E+05,4.03E+05,4.10E+05,4.23E+05,4.16E+05,4.21E+05,2.25E+05,8.69E+04,6.54E+04
Canyonlands NP,38.2456,-109.8802,2196490666,https://drive.google.com/uc?id=1umdm8DwwQ03hmLFQkpviCPpL4zHXpeGp,image/Canyonlands.jpg,https://www.nps.gov/cany/index.htm,41,2016.50302,"Biking, Boating, Camping, Children's Programs, Hiking, Horseback Riding, Kayaking, Off-Roading, Shopping, Stargazing, Tours, Whitewater Rafting",1.41E+04,1.74E+04,8.05E+04,9.38E+04,1.02E+05,8.96E+04,7.75E+04,6.90E+04,9.54E+04,8.38E+04,4.74E+04,1.50E+04
Capitol Reef NP,38.2822,-111.247,1605718367,https://drive.google.com/uc?id=16FUf5oVWCaoyzz9lwjn-av78MgZNqXa7,image/Capitol_Reef.jpg,https://www.nps.gov/care/index.htm,72,682.521094,"Arts & Culture, Biking, Birdwatching, Camping, Children's Programs, Climbing, Foraging, Hiking, Historical, Horseback Riding, Hunting, Off-Roading, Picnicking, Scenic Drive, Shopping, Stargazing, Tours, Wildlife Viewing",1.42E+04,2.22E+04,6.93E+04,1.34E+05,1.78E+05,1.67E+05,1.50E+05,1.34E+05,1.74E+05,1.50E+05,5.67E+04,2.06E+04
Carlsbad Caverns NP,32.1409,-104.553,264914339.3,https://www.nps.gov/common/uploads/structured_data/3C824541-1DD8-B71B-0B357AECFFE928B9.jpg,image/Carlsbad_Caverns.jpg,https://www.nps.gov/cave/index.htm,0,62.76426,"Birdwatching, Camping, Caving, Children's Programs, Horseback Riding, Picnicking, Shopping, Stargazing, Tours, Wildlife Viewing",1.74E+04,1.74E+04,7.67E+04,3.83E+04,5.15E+04,6.78E+04,7.43E+04,4.44E+04,3.19E+04,3.46E+04,3.41E+04,1.82E+04
Channel Islands NP,33.9868,-119.9113,1449812262,https://drive.google.com/uc?id=1j7TCaGP2LbRkQZMVBlHdCSy-6dvxklVC,image/Channel_Islands.jpeg,https://www.nps.gov/chis/index.htm,106,242.688472,"Birdwatching, Boating, Camping, Children's Programs, Fishing, Geocaching, Hiking, Historical, Kayaking, Picnicking, Shopping, Stargazing, Swimming, Tours, Water Activities, Wildlife Viewing",1.48E+04,2.58E+04,3.03E+04,3.68E+04,3.87E+04,3.91E+04,5.13E+04,3.81E+04,3.69E+04,2.91E+04,1.93E+04,1.70E+04
Congaree NP,33.7919,-80.7487,155132048.5,https://drive.google.com/uc?id=1V9LWWX6WW8396jEnzu2opD-g4vPq8MV5,image/Congaree.jpg,https://www.nps.gov/cong/index.htm,20,140.01258,"Arts & Culture, Birdwatching, Camping, Canoeing, Children's Programs, Fishing, Geocaching, Hiking, Historical, Kayaking, Picnicking, Shopping, Stargazing, Tours, Wildlife Viewing",7.03E+03,9.46E+03,1.84E+04,1.54E+04,1.84E+04,1.13E+04,7.14E+03,1.07E+04,7.77E+03,1.27E+04,9.82E+03,9.88E+03
Crater Lake NP,42.9407,-122.1338,1379224009,https://drive.google.com/uc?id=1A5JGT5pzKbDMtyvEOdZSTT1C99a7lP8o,image/Crater_Lake.jpg,https://www.nps.gov/crla/index.htm,230,381.896382,"Arts & Culture, Biking, Birdwatching, Boating, Camping, Canoeing, Children's Programs, Cross-Country Skiing, Fishing, Geocaching, Hiking, Kayaking, Off-Roading, Picnicking, Scenic Drive, Shopping, Skiing, Stargazing, Swimming, Tours, Water Activities, Wildlife Viewing, Winter Sports",8.38E+03,9.15E+03,8.72E+03,2.41E+04,5.39E+04,1.52E+05,1.76E+05,1.57E+05,1.34E+05,4.47E+04,1.56E+04,1.64E+03
Cuyahoga Valley NP,41.2609,-81.5712,234527745.9,https://drive.google.com/uc?id=16WWbzowB_8vIrYRjBYXxFysdpCWMLEOg,image/Cuyahoga_Valley.jpg,https://www.nps.gov/cuva/index.htm,5,354.537602,"Arts & Culture, Biking, Canoeing, Children's Programs, Cross-Country Skiing, Fishing, Hiking, Horseback Riding, Kayaking, Shopping, Skiing, Water Activities, Winter Sports",8.18E+04,8.72E+04,1.02E+05,1.67E+05,2.16E+05,2.29E+05,3.02E+05,2.57E+05,2.12E+05,2.30E+05,1.40E+05,1.15E+05
Death Valley NP,36.4875,-117.1344,21325154640,https://drive.google.com/uc?id=1y78ZnwxKmvqUed81b2cb65IeHwZu7kZQ,image/Death_Valley.jpg,https://www.nps.gov/deva/index.htm,727,1495.237194,"Biking, Birdwatching, Camping, Children's Programs, Geocaching, Hiking, Historical, Horseback Riding, Off-Roading, Scenic Drive, Shopping, Stargazing, Tours, Wildlife Viewing",9.32E+04,1.15E+05,1.45E+05,1.40E+05,1.41E+05,9.48E+04,1.58E+05,1.62E+05,1.67E+05,1.70E+05,1.08E+05,1.06E+05
Denali NP & PRES,63.2978,-151.0527,93900615944,https://drive.google.com/uc?id=1r8rfiFAj0RtOVMg8HvS8d3UHCmeRx3c3,image/Denali.jpg,https://www.nps.gov/dena/index.htm,274,207.282992,"Arts & Culture, Biking, Camping, Children's Programs, Climbing, Cross-Country Skiing, Hiking, Off-Roading, Scenic Drive, Shopping, Skiing, Stargazing, Tours, Wildlife Viewing, Winter Sports",1.01E+03,2.11E+03,4.06E+03,3.90E+03,6.04E+04,1.58E+05,1.70E+05,1.65E+05,6.73E+04,4.12E+03,3.09E+03,2.21E+03
Dry Tortugas NP,24.6287,-82.8732,322682121.7,https://drive.google.com/uc?id=1aIsfQpJGsDpA4HHLc5PmWfWu6utuJ9Xc,image/Dry_Tortugas.jpg,https://www.nps.gov/drto/index.htm,8,0.80467,"Birdwatching, Boating, Camping, Children's Programs, Fishing, Kayaking, Shopping, Stargazing, Swimming, Tours, Water Activities, Wildlife Viewing",4.40E+03,4.06E+03,6.09E+03,4.81E+03,5.72E+03,7.42E+03,6.91E+03,4.85E+03,5.28E+03,2.57E+03,4.43E+03,4.50E+03
Everglades NP,25.3729,-80.882,7625863036,https://www.nps.gov/common/uploads/structured_data/3C854681-1DD8-B71B-0BA4F6D9379336DF.jpg,image/Everglades.jpg,https://www.nps.gov/ever/index.htm,382,406.519284,"Biking, Birdwatching, Boating, Camping, Children's Programs, Fishing, Geocaching, Hiking, Historical, Kayaking, Picnicking, Shopping, Stargazing, Tours, Wildlife Viewing",1.05E+05,8.51E+04,9.02E+04,7.40E+04,7.39E+04,6.44E+04,5.41E+04,6.19E+04,3.73E+04,4.22E+04,5.46E+04,1.03E+05
Gates of the Arctic NP & PRES,67.7596,-153.2918,2.12E+11,https://drive.google.com/uc?id=1R3i2v-KnR6glm6J8wh4tJ1JDEB5zvdRT,image/Gates_of_the_Arctic.jpg,https://www.nps.gov/gaar/index.htm,0,0,"Camping, Canoeing, Climbing, Hiking, Hunting, Kayaking, Whitewater Rafting",7.22E+01,2.51E+01,2.19E+02,1.98E+02,1.95E+02,1.50E+03,2.91E+03,3.15E+03,1.04E+03,4.29E+01,1.41E+01,3.44E+01
Gateway Arch NP,38.6258,-90.1893,1290994.16,https://drive.google.com/uc?id=1HIm1HTms_txwmwyQVfvL9HaTVexY8Xqt,image/Gateway_Arch.jpeg,https://www.nps.gov/jeff/index.htm,0,37.01482,"Children's Programs, Historical, Shopping, Tours",4.08E+04,3.96E+04,8.57E+04,1.01E+05,1.32E+05,1.98E+05,4.29E+05,2.21E+05,1.43E+05,1.26E+05,8.77E+04,5.76E+04
Glacier Bay NP & PRES,58.8009,-136.8408,48488640594,https://drive.google.com/uc?id=12JrzSqaGo8Sig0B6-iLj39IUpgDQg0LM,image/Glacier_Bay.jpg,https://www.nps.gov/glba/index.htm,33,44.25685,"Arts & Culture, Birdwatching, Boating, Camping, Children's Programs, Climbing, Fishing, Hiking, Hunting, Kayaking, Off-Roading, Shopping, Tours, Whitewater Rafting, Wildlife Viewing",1.77E+02,1.77E+02,1.77E+02,1.21E+03,1.08E+05,1.15E+05,1.28E+05,1.23E+05,9.27E+04,1.22E+03,3.78E+02,1.77E+02
Glacier NP,48.6841,-113.8009,9351571401,https://drive.google.com/uc?id=1cp5x2gYM5VyFQ58JlFT58-CEefA-XB8c,image/Glacier.jpg,https://www.nps.gov/glac/index.htm,1014,3061.447482,"Arts & Culture, Biking, Boating, Camping, Children's Programs, Climbing, Cross-Country Skiing, Fishing, Hiking, Historical, Horseback Riding, Kayaking, Off-Roading, Scenic Drive, Shopping, Skiing, Stargazing, Swimming, Tours, Water Activities, Whitewater Rafting, Winter Sports",1.59E+04,1.52E+04,3.43E+04,5.40E+04,1.88E+05,6.24E+05,9.48E+05,9.20E+05,4.61E+05,9.23E+04,3.52E+04,2.08E+04
Grand Canyon NP,36.1728,-112.6836,7486947681,https://drive.google.com/uc?id=1kDTnO5t0IBQKYXOGOiSIQvW9CC7Fx-BQ,image/Grand_Canyon.jpg,https://www.nps.gov/grca/index.htm,377,2232.798316,"Arts & Culture, Biking, Birdwatching, Boating, Camping, Children's Programs, Fishing, Geocaching, Hiking, Historical, Horseback Riding, Kayaking, Off-Roading, Scenic Drive, Shopping, Stargazing, Tours, Whitewater Rafting, Wildlife Viewing",2.60E+05,2.57E+05,5.27E+05,6.08E+05,6.61E+05,7.69E+05,7.76E+05,7.69E+05,6.64E+05,5.50E+05,3.87E+05,3.27E+05
Grand Teton NP,43.8185,-110.7055,2410496691,https://drive.google.com/uc?id=1FsaCBM8zbazFDeId1zYKv97QGAX32d1g,image/Grand_Teton.jpg,https://www.nps.gov/grte/index.htm,1089,2072.186784,"Arts & Culture, Biking, Boating, Camping, Canoeing, Children's Programs, Climbing, Cross-Country Skiing, Fishing, Fly Fishing, Hiking, Horseback Riding, Hunting, Kayaking, Off-Roading, Scenic Drive, Shopping, Skiing, Tours, Water Activities, Wildlife Viewing, Winter Sports",5.58E+04,5.18E+04,5.65E+04,5.90E+04,3.30E+05,6.92E+05,7.79E+05,7.17E+05,5.44E+05,2.29E+05,5.08E+04,4.46E+04
Great Basin NP,38.9462,-114.258,515901038.4,https://drive.google.com/uc?id=1m6RCeLYrCaAOU7AiuvxaSFZ19-cqG_Vs,image/Great_Basin.jpg,https://www.nps.gov/grba/index.htm,138,203.259642,"Birdwatching, Camping, Caving, Children's Programs, Cross-Country Skiing, Fishing, Fly Fishing, Foraging, Hiking, Historical, Horseback Riding, Hunting, Off-Roading, Scenic Drive, Shopping, Skiing, Stargazing, Tours, Wildlife Viewing, Winter Sports",1.67E+03,2.43E+03,6.95E+03,1.23E+04,2.32E+04,2.98E+04,2.95E+04,2.15E+04,2.94E+04,1.15E+04,2.34E+03,1.75E+03
Great Sand Dunes NP & PRES,37.7926,-105.592,698046852.2,https://drive.google.com/uc?id=1AeDIudH6yh7pupNugT7n40-HeAbmBCMR,image/Great_Sand_Dunes.jpg,https://www.nps.gov/grba/index.htm,91,120.861434,"Arts & Culture, Biking, Birdwatching, Camping, Children's Programs, Climbing, Cross-Country Skiing, Fishing, Fly Fishing, Geocaching, Hiking, Historical, Horseback Riding, Hunting, Off-Roading, Picnicking, Shopping, Skiing, Stargazing, Swimming, Tours, Water Activities, Wildlife Viewing, Winter Sports",6.61E+03,4.39E+03,2.63E+04,2.31E+04,7.58E+04,6.96E+04,6.96E+04,6.88E+04,5.57E+04,3.63E+04,1.14E+04,4.56E+03
Great Smoky Mountains NP,35.6012,-83.5082,3180689381,https://drive.google.com/uc?id=1JYy3BzkoXNjtVxR8_wCNqoD2csbXWpBA,image/Great_Smoky_Mountains.jpg,https://www.nps.gov/grsm/index.htm,866,5880.850228,"Biking, Birdwatching, Camping, Fishing, Fly Fishing, Hiking, Historical, Horseback Riding, Picnicking, Scenic Drive, Shopping, Stargazing, Tours, Wildlife Viewing",2.98E+05,3.93E+05,7.55E+05,8.96E+05,1.05E+06,1.42E+06,1.42E+06,1.24E+06,1.35E+06,1.36E+06,8.90E+05,6.60E+05
Guadalupe Mountains NP,31.923,-104.8855,491447399.7,https://drive.google.com/uc?id=1RmPocq5nWg0tDuA9lRoFpuo2prSMlr-e,image/Guadalupe_Mountains.jpg,https://www.nps.gov/gumo/index.htm,57,413.439446,"Birdwatching, Camping, Children's Programs, Hiking, Historical, Horseback Riding, Off-Roading, Tours, Wildlife Viewing",9.10E+03,1.42E+04,1.61E+04,1.81E+04,1.29E+04,1.38E+04,1.36E+04,1.39E+04,1.19E+04,1.59E+04,1.84E+04,1.13E+04
Haleakala NP,20.7069,-156.1592,156331033,https://www.nps.gov/common/uploads/structured_data/3D3323B6-1DD8-B71B-0B78ACA534C1D05E.jpg,image/Haleakala.jpg,https://www.nps.gov/hale/index.htm,3,153.209168,"Camping, Children's Programs, Hiking, Shopping, Swimming, Tours",9.25E+04,8.28E+04,8.30E+04,9.37E+04,9.93E+04,6.81E+04,9.93E+04,9.89E+04,9.00E+04,5.96E+04,7.85E+04,8.94E+04
Hawaii Volcanoes NP,19.3355,-155.47,1642952590,https://drive.google.com/uc?id=1ULqdjoshpH0hek_xnb-41LArH42RbIl6,image/Hawaii_Volcanoes.jpg,https://www.nps.gov/havo/index.htm,25,439.510754,"Arts & Culture, Biking, Birdwatching, Camping, Children's Programs, Hiking, Historical, Shopping, Tours, Wildlife Viewing",2.39E+04,7.86E+04,1.80E+05,1.59E+05,1.51E+05,4.15E+04,1.88E+04,1.88E+04,1.38E+05,1.56E+05,1.47E+05,3.53E+04
