name,lat,long,area,url2,url,homepage,campsites,trails,activity,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Hot Springs NP,34.5241,-93.0633,32663724.06,https://drive.google.com/uc?id=1LVD7-J-IDRY31x_k-tJVQh_ilsqQxyuK,image/Hot_Springs.jpg,https://www.nps.gov/hosp/index.htm,40,90.283974,"Camping,Hiking, Shopping, Tours",8.29E+04,8.00E+04,1.35E+05,1.06E+05,1.36E+05,1.63E+05,1.84E+05,1.87E+05,1.69E+05,1.50E+05,1.27E+05,9.09E+04
Indiana Dunes NP,41.6377,-87.0965,115487727.3,https://drive.google.com/uc?id=1GOC_61ErZ9_rl4ZzfAB4H0G_5mXmvPk-,image/Indiana_Dunes.jpg,https://www.nps.gov/indu/index.htm,66,99.135344,"Arts & Culture, Biking, Birdwatching, Boating, Camping, Canoeing, Children's Programs, Cross-Country Skiing, Fishing, Hiking, Horseback Riding, Kayaking, Off-Roading, Picnicking, Scenic Drive, Shopping, Skiing, Swimming, Tours, Water Activities, Wildlife Viewing, Winter Sports",8.46E+04,9.27E+04,1.28E+05,1.22E+05,1.70E+05,2.38E+05,3.56E+05,3.60E+05,3.26E+05,1.42E+05,6.72E+04,5.82E+04
Isle Royale NP,48.0115,-88.8278,4967366188,https://drive.google.com/uc?id=1t7Qq91nd3xtcIrwyds4V4A0kv6C6jCGH,image/Isle_Royale.jpg,https://www.nps.gov/isro/index.htm,244,126.976926,"Arts & Culture, Birdwatching, Boating, Camping, Canoeing, Children's Programs, Fishing, Hiking, Kayaking, Shopping, Tours, Water Activities, Wildlife Viewing",3.52E+01,5.45E+01,7.37E+01,1.01E+02,1.38E+03,5.43E+03,8.07E+03,9.09E+03,3.14E+03,4.19E+02,4.33E+01,6.11E+01
Joshua Tree NP,33.9142,-115.8398,4698082902,https://drive.google.com/uc?id=1VkSR8GeQyWsie-9F8cwnNkGhmUeGiais,image/Joshua_Tree.jpg,https://www.nps.gov/jotr/index.htm,500,1390.308826,"Biking, Birdwatching, Camping, Children's Programs, Climbing, Hiking, Horseback Riding, Off-Roading, Picnicking, Scenic Drive, Shopping, Stargazing, Tours, Wildlife Viewing",2.99E+05,3.97E+05,3.97E+05,3.97E+05,3.06E+05,1.69E+05,1.41E+05,1.61E+05,1.62E+05,2.28E+05,3.97E+05,3.97E+05
Katmai NP & PRES,58.6224,-155.0127,54700887513,https://drive.google.com/uc?id=17_WNX2M4_AWEr3OU2RJ1uV_wQ0ShORkm,image/Katmai.jpg,https://www.nps.gov/katm/index.htm,60,9.495106,"Boating, Camping, Fishing, Fly Fishing, Hiking, Tours, Wildlife Viewing",1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,5.14E+03,1.67E+04,9.82E+03,5.02E+03,1.00E+02,1.00E+02,1.00E+02
Kenai Fjords NP,59.818,-150.1065,10644791939,https://drive.google.com/uc?id=11ZVlHRP7rVSKNjti40xdXFquLA2ssBaf,image/Kenai_Fjords.jpg,https://www.nps.gov/kefj/index.htm,12,18.50741,"Birdwatching, Boating, Camping, Children's Programs, Climbing, Cross-Country Skiing, Fishing, Fly Fishing, Hiking, Kayaking, Shopping, Skiing, Stargazing, Tours, Wildlife Viewing, Winter Sports",4.56E+01,1.95E+01,3.73E+01,3.26E+01,2.72E+04,8.07E+04,9.81E+04,8.84E+04,3.16E+04,3.75E+03,2.30E+01,1.69E+01
Kings Canyon NP,36.8879,-118.5551,2909305732,https://www.nps.gov/common/uploads/structured_data/3C7A250B-1DD8-B71B-0BCF61A89A8B2970.jpg,image/Kings_Canyon.jpg,https://www.nps.gov/seki/index.htm,167,2327.91031,"Birdwatching, Camping, Caving, Children's Programs, Climbing, Cross-Country Skiing, Fishing, Fly Fishing, Hiking, Historical, Horseback Riding, Off-Roading, Picnicking, Scenic Drive, Shopping, Skiing, Stargazing, Tours, Wildlife Viewing, Winter Sports",1.61E+04,1.36E+04,1.57E+04,5.02E+04,6.53E+04,9.50E+04,1.22E+05,9.97E+04,9.30E+04,5.35E+04,3.21E+04,2.81E+04
Kobuk Valley NP,67.3563,-159.2002,2909305732,https://www.nps.gov/common/uploads/structured_data/3C7A134A-1DD8-B71B-0B3C2789713B6113.jpg,image/Kobuk_Valley.jpg,https://www.nps.gov/kova/index.htm,0,98,"Arts & Culture, Boating, Camping, Canoeing, Children's Programs, Fishing, Hiking, Historical, Kayaking, Shopping, Wildlife Viewing",0.00E+00,1.30E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Lake Clark NP & PRES,60.5741,-153.5554,43868618884,https://drive.google.com/uc?id=1PFpH_snAZpqQByjKFaDJZt_wpu93KrIs,image/Lake_Clark.jpg,https://www.nps.gov/lacl/index.htm,0,0,"Biking, Birdwatching, Boating, Camping, Canoeing, Children's Programs, Climbing, Cross-Country Skiing, Fishing, Geocaching, Hiking, Hunting, Kayaking, Shopping, Skiing, Stargazing, Water Activities, Wildlife Viewing, Winter Sports",3.26E+02,1.83E+02,2.54E+02,2.54E+02,5.55E+02,3.15E+03,3.22E+03,4.82E+03,3.07E+03,2.65E+02,1.97E+02,2.07E+02
Lassen Volcanic NP,40.4935,-121.4076,753097658.2,https://drive.google.com/uc?id=10kxLj9opTX0f5adjLtLf1H_ud8-4wn9l,image/Lassen_Volcanic.jpg,https://www.nps.gov/lavo/index.htm,119,765.78046,"Birdwatching, Boating, Camping, Canoeing, Children's Programs, Cross-Country Skiing, Fishing, Geocaching, Hiking, Historical, Horseback Riding, Kayaking, Off-Roading, Scenic Drive, Shopping, Skiing, Stargazing, Swimming, Tours, Water Activities, Wildlife Viewing, Winter Sports",1.02E+04,8.17E+03,8.59E+03,1.32E+04,3.23E+04,7.39E+04,1.09E+05,1.10E+05,7.49E+04,5.61E+04,9.32E+03,6.50E+03
Mammoth Cave NP,37.1976,-86.1309,330311828.6,https://drive.google.com/uc?id=15U6NE0YZvQAWRtS82HEklmXIxXUTsrZF,image/Mammoth.jpg,https://www.nps.gov/maca/index.htm,168,275.679942,"Biking, Camping, Canoeing, Caving, Fishing, Hiking, Horseback Riding, Kayaking, Swimming, Tours",7.52E+03,1.09E+04,5.07E+04,5.64E+04,5.33E+04,7.97E+04,1.06E+05,6.92E+04,4.87E+04,5.24E+04,3.16E+04,1.04E+04
Mesa Verde NP,37.2391,-108.4624,343422765.9,https://drive.google.com/uc?id=1vovoPcS7R-vnDmfVVPhcEKv--hxflr3g,image/Mesa_Verde.jpg,https://www.nps.gov/meve/index.htm,267,74.02964,"Camping, Children's Programs, Hiking, Historical, Shopping, Stargazing, Tours, Winter Sports",5.76E+03,6.39E+03,2.23E+04,3.34E+04,6.55E+04,1.02E+05,9.96E+04,8.70E+04,6.86E+04,5.34E+04,1.68E+04,1.05E+04
Mount Rainier NP,46.8608,-121.7044,2045641254,https://drive.google.com/uc?id=1BV1maMd7mXH2Nlh4M6keEZXwfviikKg4,image/Mount_Rainier.jpg,https://www.nps.gov/mora/index.htm,473,1738.0872,"Biking, Camping, Children's Programs, Climbing, Fishing, Hiking, Historical, Shopping, Skiing, Wildlife Viewing, Winter Sports",5.58E+04,2.44E+04,3.54E+04,4.14E+04,1.60E+05,2.18E+05,3.14E+05,3.06E+05,1.80E+05,1.38E+05,7.19E+04,2.83E+04
National Park of American Samoa,-14.2287,-169.8504,48283336.77,https://drive.google.com/uc?id=16hfIc_gsNXbfJxyz918PoXDtIv5go2wB,image/American_Samoa.jpg,https://www.nps.gov/npsa/index.htm,0,20.9215,"Arts & Culture, Birdwatching, Historical, Swimming, Water Activities, Wildlife Viewing",3.80E+03,3.14E+03,2.84E+03,3.03E+03,2.18E+03,1.59E+03,1.28E+03,4.00E+03,2.07E+03,1.69E+03,1.94E+03,1.96E+03
North Cascades NP,48.7117,-121.2069,4656124635,https://drive.google.com/uc?id=1zBOobxDb-Gvqss0JqaWdTFZZjfMFLepD,image/North_Cascades.jpg,https://www.nps.gov/noca/index.htm,370,413.117578,"Arts & Culture, Biking, Birdwatching, Camping, Climbing, Fishing, Hiking, Historical, Horseback Riding, Scenic Drive, Tours, Whitewater Rafting, Wildlife Viewing",4.78E+01,4.27E+01,2.79E+01,9.86E+01,6.37E+02,5.16E+03,9.61E+03,8.16E+03,6.60E+03,6.27E+02,4.76E+01,3.23E+01
Olympic NP,47.8039,-123.6664,8200694159,https://drive.google.com/uc?id=1VHxqWccZ2QzT8GaQ0hx_rNbHlAkfSpik,image/Olympic.jpg,https://www.nps.gov/olym/index.htm,774,4474.44802,"Arts & Culture, Birdwatching, Boating, Camping, Canoeing, Children's Programs, Climbing, Cross-Country Skiing, Fishing, Fly Fishing, Hiking, Historical, Horseback Riding, Kayaking, Picnicking, Skiing, Stargazing, Swimming, Tours, Water Activities, Wildlife Viewing, Winter Sports",1.17E+05,1.08E+05,1.14E+05,1.47E+05,3.40E+05,5.22E+05,5.08E+05,7.95E+05,3.81E+05,1.70E+05,7.86E+04,7.01E+04
Petrified Forest NP,34.9839,-109.7878,1347243551,https://drive.google.com/uc?id=1LfRQtyZUnGPftbXNIqibAcVe5Z6xbIvS,image/Petrified_Forest.jpg,https://www.nps.gov/pefo/index.htm,0,99.296278,"Arts & Culture, Biking, Birdwatching, Camping, Children's Programs, Geocaching, Hiking, Historical, Horseback Riding, Off-Roading, Picnicking, Scenic Drive, Shopping, Stargazing, Tours, Wildlife Viewing",2.71E+04,2.75E+04,5.81E+04,5.85E+04,8.34E+04,9.86E+04,8.52E+04,6.27E+04,6.24E+04,5.08E+04,3.19E+04,2.85E+04
Pinnacles NP,36.4903,-121.1814,167545647.5,https://www.nps.gov/common/uploads/structured_data/3C86A8CB-1DD8-B71B-0BAE8F7141CCBB1B.jpg,image/Pinnacles.jpg,https://www.nps.gov/pinn/index.htm,134,204.225206,"Birdwatching, Camping, Caving, Children's Programs, Climbing, Hiking, Picnicking, Stargazing, Wildlife Viewing",1.76E+04,2.48E+04,2.36E+04,2.85E+04,2.54E+04,2.34E+04,1.62E+04,1.52E+04,1.72E+04,1.50E+04,1.60E+04,1.67E+04
Redwood NP,37.8966,-122.5808,831717918.6,https://drive.google.com/uc?id=1fJw6z2xEEGRMgSVUDP0gCrC1ymDOJEfW,image/Redwoods.jpg,https://www.nps.gov/redw/index.htm,332,286.784388,"Arts & Culture, Biking, Birdwatching, Camping, Children's Programs, Hiking, Horseback Riding, Kayaking, Off-Roading, Scenic Drive, Shopping, Wildlife Viewing",2.43E+04,1.74E+04,3.20E+04,2.75E+04,5.45E+04,6.74E+04,6.32E+04,6.09E+04,4.86E+04,2.60E+04,2.86E+04,2.77E+04
Rocky Mountain NP,40.3557,-105.6973,1862889427,https://drive.google.com/uc?id=1TKc3Gi-VLqiacgwu8tHDWScquq-IIp7U,image/Rocky_Mountain.jpg,https://www.nps.gov/romo/index.htm,570,2924.17078,"Arts & Culture, Biking, Birdwatching, Camping, Children's Programs, Cross-Country Skiing, Fishing, Hiking, Horseback Riding, Off-Roading, Picnicking, Scenic Drive, Shopping, Skiing, Stargazing, Water Activities, Wildlife Viewing, Winter Sports",1.31E+05,1.15E+05,1.58E+05,1.57E+05,2.88E+05,8.42E+05,9.01E+05,8.26E+05,7.93E+05,3.35E+05,1.59E+05,1.23E+05
Saguaro NP,32.2091,-110.7575,524285419.4,https://drive.google.com/uc?id=1CC5qQoVKni03EM_RVxzFv2kH7TB3a9_X,image/Saguaro.jpg,https://www.nps.gov/sagu/index.htm,6,696.522352,"Biking, Camping, Children's Programs, Hiking, Off-Roading, Scenic Drive, Stargazing, Tours",1.14E+05,1.36E+05,1.32E+05,1.15E+05,7.74E+04,4.27E+04,4.87E+04,5.32E+04,4.68E+04,6.54E+04,8.82E+04,7.87E+04
Sequoia NP,36.7128,-118.5874,2553244953,https://drive.google.com/uc?id=1nEQGp8qB8mUBmFo5pa_-X6r7FsG-KW05,image/Sequoia.jpg,https://www.nps.gov/seki/index.htm,1216,2288.803348,"Birdwatching, Camping, Caving, Children's Programs, Climbing, Cross-Country Skiing, Fishing, Fly Fishing, Hiking, Historical, Horseback Riding, Off-Roading, Picnicking, Scenic Drive, Shopping, Skiing, Stargazing, Tours, Wildlife Viewing, Winter Sports",3.68E+04,3.77E+04,6.94E+04,8.59E+04,1.44E+05,1.98E+05,1.92E+05,1.89E+05,1.65E+05,9.06E+04,6.69E+04,5.95E+04
Shenandoah NP,38.4924,-78.4691,1278732694,https://drive.google.com/uc?id=1NY-xNQaV0j9RyVD76LQpIuPZ6Gjhxm1V,image/Shenandoah.jpg,https://www.nps.gov/shen/index.htm,575,2942.517256,"Birdwatching, Camping, Children's Programs, Climbing, Fishing, Geocaching, Hiking, Historical, Horseback Riding, Off-Roading, Picnicking, Scenic Drive, Shopping, Stargazing, Wildlife Viewing",2.63E+04,2.67E+04,3.99E+04,9.76E+04,1.42E+05,1.61E+05,1.78E+05,1.80E+05,1.37E+05,1.54E+05,1.37E+05,3.45E+04
Theodore Roosevelt NP,47.1778,-103.43,616847540.9,https://drive.google.com/uc?id=1OkZR9NOBdhMT1gFoqoRUE2Yq2qJHPSUJ,image/Theodore_Roosevelt.jpg,https://www.nps.gov/thro/index.htm,121,509.517044,"Biking, Birdwatching, Camping, Canoeing, Children's Programs, Cross-Country Skiing, Fishing, Fly Fishing, Hiking, Historical, Horseback Riding, Kayaking, Tours, Wildlife Viewing, Winter Sports",3.80E+03,5.08E+03,1.33E+04,1.80E+04,7.26E+04,1.42E+05,1.62E+05,1.55E+05,1.00E+05,4.41E+04,1.85E+04,2.62E+03
Virgin Islands NP,18.3428,-64.7419,67328650.68,https://drive.google.com/uc?id=1-62-3wq18h_e1HcoraT8QFLg2tepG3Ax,image/Virgin_Islands.jpg,https://www.nps.gov/viis/index.htm,0,36.53,"Arts & Culture, Birdwatching, Boating, Camping, Canoeing, Fishing, Hiking, Kayaking, Picnicking, Shopping, Stargazing, Swimming, Tours, Water Activities, Wildlife Viewing",6.44E+03,1.01E+04,1.26E+04,2.49E+04,2.12E+04,2.19E+04,2.19E+04,1.89E+04,7.88E+03,7.06E+03,8.54E+03,1.06E+04
Voyageurs NP,48.4837,-92.8383,1884045715,https://drive.google.com/uc?id=15Lw0YoCaLWx3MkLmMhai4E16rgxYBRw9,image/Voyageurs.jpg,https://www.nps.gov/voya/index.htm,162,49.406738,"Arts & Culture, Biking, Birdwatching, Boating, Camping, Canoeing, Children's Programs, Cross-Country Skiing, Fishing, Hiking, Historical, Kayaking, Picnicking, Shopping, Skiing, Stargazing, Swimming, Tours, Water Activities, Wildlife Viewing, Winter Sports",5.13E+03,7.54E+03,4.59E+03,2.69E+02,2.90E+04,4.76E+04,5.27E+04,5.29E+04,2.68E+04,1.10E+04,2.32E+03,8.24E+02
Wind Cave NP,43.5801,-103.4395,261727428.8,https://drive.google.com/uc?id=184i_YgXpgkeXDySvuBnArcb_wVRTVQ4D,image/Wind_Cave.jpg,https://www.nps.gov/wica/index.htm,61,85.134086,"Birdwatching, Camping, Caving, Children's Programs, Hiking, Historical, Horseback Riding, Off-Roading, Picnicking, Scenic Drive, Shopping, Tours, Wildlife Viewing",1.17E+04,1.62E+04,2.45E+04,3.77E+04,5.72E+04,1.17E+05,1.29E+05,1.24E+05,8.69E+04,2.97E+04,1.64E+04,1.07E+04
Wrangell-St. Elias NP & PRES,61.4182,-142.6028,1.43E+11,https://drive.google.com/uc?id=1o66Qvfk_9WxYIzhL4hV0xCU2IRCMKVRC,image/Wrangell_St_Elias.jpg,https://www.nps.gov/wrst/index.htm,10,148.06,"Arts & Culture, Biking, Birdwatching, Boating, Camping, Children's Programs, Climbing, Fishing, Fly Fishing, Foraging, Hiking, Historical, Hunting, Kayaking, Off-Roading, Picnicking, Scenic Drive, Shopping, Tours, Whitewater Rafting, Wildlife Viewing, Winter Sports",2.50E+01,9.50E+01,2.30E+02,5.20E+02,4.97E+03,1.55E+04,2.23E+04,2.06E+04,7.63E+03,5.30E+02,6.00E+01,3.50E+01
Yellowstone NP,44.5982,-110.5472,17557091672,https://drive.google.com/uc?id=1M4BlYYNPJ8JqileBf-AT_xW95imItmXK,image/Yellowstone.jpg,https://www.nps.gov/yell/index.htm,2178,4870.345642,"Biking, Boating, Camping, Children's Programs, Cross-Country Skiing, Fishing, Hiking, Historical, Horseback Riding, Kayaking, Off-Roading, Picnicking, Scenic Drive, Shopping, Skiing, Stargazing, Tours, Wildlife Viewing, Winter Sports",3.04E+04,3.47E+04,2.53E+04,4.98E+04,4.63E+05,8.37E+05,9.16E+05,8.51E+05,6.78E+05,2.33E+05,1.75E+04,2.20E+04
Yosemite NP,37.8488,-119.5572,4849245281,https://drive.google.com/uc?id=1990sSaSL1yu44M4-1mvt1FzTlE0RX2xm,image/Yosemite.jpeg,https://www.nps.gov/yose/index.htm,1090,6739.433168,"Arts & Culture, Biking, Birdwatching, Boating, Camping, Children's Programs, Fishing, Hiking, Historical, Horseback Riding, Kayaking, Off-Roading, Scenic Drive, Shopping, Skiing, Stargazing, Swimming, Tours, Water Activities, Wildlife Viewing, Winter Sports",1.59E+05,1.91E+05,2.56E+05,3.00E+05,4.01E+05,6.37E+05,5.66E+05,4.83E+05,5.24E+05,4.02E+05,2.26E+05,1.75E+05
Zion NP,37.2984,-113.0265,952718701.8,https://www.nps.gov/common/uploads/structured_data/3C7F0098-1DD8-B71B-0B6C0191D7391384.jpg,image/Zion.jpg,https://www.nps.gov/zion/index.htm,176,1129.434812,"Biking, Birdwatching, Camping, Children's Programs, Hiking, Historical, Stargazing, Tours, Wildlife Viewing",1.15E+05,1.35E+05,3.91E+05,5.24E+05,5.14E+05,5.09E+05,5.07E+05,5.11E+05,5.17E+05,4.05E+05,2.69E+05,1.47E+05